family,genus,species,lme,fao,level,FB_E_Code,source,type.length,taxo,b,a
Scophthalmidae,Phrynorhombus,norvegicus,21,27,species,NA,fb,TL,spe-LME,3,0.01
Scophthalmidae,Phrynorhombus,norvegicus,20,27,species,NA,fb,TL,spe-LME,3,0.01
Gobiidae,Pomatoschistus,norvegicus,22,27,species,NA,fb,TL,spe-LME,3,0.01
Sebastidae,Sebastes,norvegicus,20,27,species,NA,fb,TL,spe-LME,3,0.01
Sebastidae,Sebastes,norvegicus,21,27,species,NA,fb,TL,spe-LME,3,0.01
Sebastidae,Sebastes,norvegicus,22,27,species,NA,fb,TL,spe-LME,3,0.01
Cottidae,Triglops,nybelini,20,27,species,NA,fb,TL,spe-LME,3,0.01
Agonidae,Aspidophoroides,olrikii,20,27,species,NA,fb,TL,spe-LME,3,0.01
Syngnathidae,Nerophis,ophidion,21,27,species,NA,fb,TL,spe-LME,3,0.01
Syngnathidae,Nerophis,ophidion,22,27,species,NA,fb,TL,spe-LME,3,0.01
Syngnathidae,Nerophis,ophidion,20,27,species,NA,fb,TL,spe-LME,3,0.01
Rajidae,Dipturus,oxyrinchus,21,27,species,NA,fb,TL,spe-LME,3,0.01
Rajidae,Dipturus,oxyrinchus,22,27,species,NA,fb,TL,spe-LME,3,0.01
Rajidae,Dipturus,oxyrinchus,20,27,species,NA,fb,TL,spe-LME,3,0.01
Zoarcidae,Lycodes,paamiuti,20,27,species,NA,fb,TL,spe-LME,3,0.01
Zoarcidae,Lycodes,pallidus,20,27,species,NA,fb,TL,spe-LME,3,0.01
Zoarcidae,Lycodes,pallidus,22,27,species,NA,fb,TL,spe-LME,3,0.01
Zoarcidae,Lycodes,pallidus,21,27,species,NA,fb,TL,spe-LME,3,0.01
Dasyatidae,Dasyatis,pastinaca,22,27,species,NA,fb,TL,spe-LME,3,0.01
Clupeidae,Sardina,pilchardus,22,27,species,NA,fb,TL,spe-LME,3,0.01
Cottidae,Triglops,pingelii,20,27,species,NA,fb,TL,spe-LME,3,0.01
